iter	Passed	Remaining
0	9	1841
1	16	1620
2	22	1505
3	29	1459
4	36	1432
5	42	1388
6	50	1389
7	56	1364
8	63	1352
9	70	1335
10	76	1319
11	84	1325
12	91	1309
13	98	1307
14	104	1287
15	110	1271
16	117	1269
17	124	1255
18	131	1252
19	137	1236
20	143	1225
21	150	1219
22	156	1207
23	164	1204
24	171	1197
25	177	1190
26	184	1179
27	191	1177
28	198	1172
29	204	1160
30	213	1162
31	220	1155
32	226	1147
33	233	1142
34	240	1131
35	248	1130
36	255	1124
37	263	1125
38	270	1114
39	277	1111
40	283	1101
41	291	1095
42	297	1085
43	303	1077
44	311	1072
45	317	1063
46	324	1056
47	330	1047
48	337	1039
49	344	1034
50	351	1026
51	359	1023
52	365	1014
53	373	1009
54	379	1001
55	386	993
56	392	985
57	399	978
58	407	974
59	414	967
60	422	962
61	428	953
62	435	946
63	442	939
64	449	932
65	457	928
66	464	921
67	471	914
68	477	906
69	484	899
70	490	891
71	497	884
72	504	878
73	510	870
74	517	862
75	524	855
76	530	847
77	537	841
78	544	834
79	551	827
80	558	820
81	565	813
82	573	808
83	579	800
84	587	794
85	594	787
86	601	781
87	607	773
88	615	767
89	621	759
90	628	752
91	635	746
92	642	739
93	650	734
94	658	727
95	665	721
96	672	713
97	679	706
98	687	701
99	693	693
100	702	688
101	709	681
102	717	675
103	725	669
104	733	663
105	740	656
106	748	650
107	755	643
108	763	637
109	770	630
110	778	624
111	786	617
112	794	611
113	801	604
114	808	597
115	816	591
116	823	584
117	830	577
118	837	570
119	845	563
120	852	556
121	859	549
122	867	543
123	875	536
124	883	529
125	890	522
126	897	515
127	904	508
128	912	502
129	919	494
130	926	488
131	933	481
132	941	474
133	948	467
134	955	460
135	962	453
136	969	446
137	978	439
138	985	432
139	993	425
140	1000	418
141	1008	411
142	1015	404
143	1023	397
144	1030	390
145	1037	383
146	1045	376
147	1052	369
148	1059	362
149	1067	355
150	1074	348
151	1081	341
152	1089	334
153	1096	327
154	1103	320
155	1111	313
156	1117	306
157	1126	299
158	1133	292
159	1140	285
160	1147	278
161	1156	271
162	1164	264
163	1174	257
164	1182	250
165	1195	244
166	1205	238
167	1214	231
168	1228	225
169	1240	218
170	1250	212
171	1259	205
172	1269	198
173	1276	190
174	1286	183
175	1294	176
176	1303	169
177	1311	162
178	1322	155
179	1330	147
180	1339	140
181	1346	133
182	1357	126
183	1367	118
184	1375	111
185	1384	104
186	1393	96
187	1403	89
188	1411	82
189	1422	74
190	1431	67
191	1438	59
192	1445	52
193	1454	44
194	1461	37
195	1470	30
196	1477	22
197	1486	15
198	1493	7
199	1501	0
