2026-06-28 21:07:27 | WARNING  | medical_ai | 2523173986.py:623 |    Model compatibility issues found
2026-06-28 21:07:27 | WARNING  | medical_ai | 2523173986.py:623 |    Model compatibility issues found
2026-06-28 21:07:34 | WARNING  | medical_ai | 2523173986.py:1183 | Found 46 integrity issues:
2026-06-28 21:07:34 | WARNING  | medical_ai | 2523173986.py:1185 |    - Disease 'Anemia' has no description
2026-06-28 21:07:34 | WARNING  | medical_ai | 2523173986.py:1185 |    - Disease 'Anemia' has no precautions
2026-06-28 21:07:34 | WARNING  | medical_ai | 2523173986.py:1185 |    - Disease 'Anxiety' has no description
2026-06-28 21:07:34 | WARNING  | medical_ai | 2523173986.py:1185 |    - Disease 'Anxiety' has no precautions
2026-06-28 21:07:34 | WARNING  | medical_ai | 2523173986.py:1185 |    - Disease 'Asthma' has no description
2026-06-28 21:07:34 | WARNING  | medical_ai | 2523173986.py:1185 |    - Disease 'Asthma' has no precautions
2026-06-28 21:07:34 | WARNING  | medical_ai | 2523173986.py:1185 |    - Disease 'Bronchitis' has no description
2026-06-28 21:07:34 | WARNING  | medical_ai | 2523173986.py:1185 |    - Disease 'Bronchitis' has no precautions
2026-06-28 21:07:34 | WARNING  | medical_ai | 2523173986.py:1185 |    - Disease 'COVID-19' has no description
2026-06-28 21:07:34 | WARNING  | medical_ai | 2523173986.py:1185 |    - Disease 'COVID-19' has no precautions
2026-06-28 21:07:34 | WARNING  | medical_ai | 2523173986.py:1187 |    ... and 36 more
2026-06-28 21:07:35 | WARNING  | medical_ai | 2523173986.py:1269 | 
Warnings: 4
2026-06-28 21:07:35 | WARNING  | medical_ai | 2523173986.py:1271 |    - Preprocessor test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 21:07:35 | WARNING  | medical_ai | 2523173986.py:1271 |    - Prediction test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 21:07:35 | WARNING  | medical_ai | 2523173986.py:1271 |    - Preprocessor test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 21:07:35 | WARNING  | medical_ai | 2523173986.py:1271 |    - Prediction test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 21:07:35 | ERROR    | medical_ai | 2523173986.py:1276 | 
Errors: 1
2026-06-28 21:07:35 | ERROR    | medical_ai | 2523173986.py:1278 |    - Dataset for breast not loaded
2026-06-28 21:15:28 | WARNING  | medical_ai | 821376723.py:1756 |    Model compatibility issues found
2026-06-28 21:15:28 | WARNING  | medical_ai | 821376723.py:1756 |    Model compatibility issues found
2026-06-28 21:15:29 | WARNING  | medical_ai | 821376723.py:2316 | Found 46 integrity issues:
2026-06-28 21:15:29 | WARNING  | medical_ai | 821376723.py:2318 |    - Disease 'Anemia' has no description
2026-06-28 21:15:29 | WARNING  | medical_ai | 821376723.py:2318 |    - Disease 'Anemia' has no precautions
2026-06-28 21:15:29 | WARNING  | medical_ai | 821376723.py:2318 |    - Disease 'Anxiety' has no description
2026-06-28 21:15:29 | WARNING  | medical_ai | 821376723.py:2318 |    - Disease 'Anxiety' has no precautions
2026-06-28 21:15:29 | WARNING  | medical_ai | 821376723.py:2318 |    - Disease 'Asthma' has no description
2026-06-28 21:15:29 | WARNING  | medical_ai | 821376723.py:2318 |    - Disease 'Asthma' has no precautions
2026-06-28 21:15:29 | WARNING  | medical_ai | 821376723.py:2318 |    - Disease 'Bronchitis' has no description
2026-06-28 21:15:29 | WARNING  | medical_ai | 821376723.py:2318 |    - Disease 'Bronchitis' has no precautions
2026-06-28 21:15:29 | WARNING  | medical_ai | 821376723.py:2318 |    - Disease 'COVID-19' has no description
2026-06-28 21:15:29 | WARNING  | medical_ai | 821376723.py:2318 |    - Disease 'COVID-19' has no precautions
2026-06-28 21:15:29 | WARNING  | medical_ai | 821376723.py:2320 |    ... and 36 more
2026-06-28 21:15:29 | WARNING  | medical_ai | 821376723.py:2402 | 
Warnings: 4
2026-06-28 21:15:29 | WARNING  | medical_ai | 821376723.py:2404 |    - Preprocessor test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 21:15:29 | WARNING  | medical_ai | 821376723.py:2404 |    - Prediction test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 21:15:29 | WARNING  | medical_ai | 821376723.py:2404 |    - Preprocessor test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 21:15:29 | WARNING  | medical_ai | 821376723.py:2404 |    - Prediction test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 21:15:29 | ERROR    | medical_ai | 821376723.py:2409 | 
Errors: 1
2026-06-28 21:15:29 | ERROR    | medical_ai | 821376723.py:2411 |    - Dataset for breast not loaded
2026-06-28 21:18:12 | WARNING  | medical_ai | 821376723.py:1756 |    Model compatibility issues found
2026-06-28 21:18:12 | WARNING  | medical_ai | 821376723.py:1756 |    Model compatibility issues found
2026-06-28 21:18:14 | WARNING  | medical_ai | 821376723.py:2316 | Found 46 integrity issues:
2026-06-28 21:18:14 | WARNING  | medical_ai | 821376723.py:2318 |    - Disease 'Anemia' has no description
2026-06-28 21:18:14 | WARNING  | medical_ai | 821376723.py:2318 |    - Disease 'Anemia' has no precautions
2026-06-28 21:18:14 | WARNING  | medical_ai | 821376723.py:2318 |    - Disease 'Anxiety' has no description
2026-06-28 21:18:14 | WARNING  | medical_ai | 821376723.py:2318 |    - Disease 'Anxiety' has no precautions
